Date,BIL,SHY,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
9/28/2010,89.513268,79.428947,97.031059,27.863718,,45.64748,7.715702,26.513456,20.146351,22.398985,,23.272158,26.708603,29.848253
9/29/2010,89.513268,79.410103,96.861816,27.645315,,46.133198,7.657089,26.505018,20.102858,22.335127,,23.227884,26.612833,29.635937
9/30/2010,89.513268,79.419563,96.574112,27.536108,,46.149662,7.646433,26.403725,20.024572,22.255304,,23.154095,26.543198,29.556326
10/1/2010,89.513268,79.433708,96.980286,27.897324,,46.767075,7.726361,26.42905,20.033262,22.295214,,23.27953,26.543198,29.591715
10/4/2010,89.532776,79.443108,96.252586,27.452103,,46.182587,7.673076,26.150494,19.86799,22.231354,,23.235268,26.28203,29.529779
10/5/2010,89.513268,79.480797,98.190323,28.224934,,47.26923,7.848916,26.851107,20.259432,22.438902,,23.493517,26.769537,30.149033
10/6/2010,89.513268,79.490189,98.181854,28.493738,,47.689075,7.843588,27.011482,20.163748,22.534691,,23.382837,26.665075,29.945566
10/7/2010,89.513268,79.556145,98.063393,28.208134,,47.450329,7.811616,26.952398,20.163748,22.454863,,23.427113,26.717302,30.087112
10/8/2010,89.513268,79.556145,98.613403,28.762552,,48.043056,7.832934,27.180307,20.276833,22.502758,,23.500896,26.786947,30.39674
10/11/2010,89.513268,79.565559,98.706505,28.712147,,48.174767,7.822276,27.104334,20.311626,22.526707,,23.508272,26.804361,30.405584
10/12/2010,89.513268,79.509026,99.011116,28.78775,,48.10067,7.912856,27.087454,20.433416,22.582584,,23.412348,26.865303,30.476358
10/13/2010,89.513268,79.518478,99.78112,29.249771,,48.685169,7.918187,27.534832,20.598692,22.774168,,23.500896,27.05682,30.520597
10/14/2010,89.532776,79.480797,99.391884,28.972559,,48.611076,7.779647,27.374449,20.607391,22.78215,,23.463997,27.004589,30.485195
10/15/2010,89.513268,79.509026,99.594971,29.056566,,48.742798,7.646433,27.205633,20.955338,22.838022,,23.537788,27.117758,30.706373
10/18/2010,89.532776,79.527901,100.085739,29.182566,,48.874504,7.816947,27.188742,21.094515,22.91785,,23.537788,27.370218,30.750593
10/19/2010,89.513268,79.565559,98.774178,28.434942,,47.903111,7.710376,26.825777,20.72047,22.63847,,23.58206,26.856598,30.193266
10/20/2010,89.513268,79.575012,99.738815,29.022964,,48.520519,7.784976,27.205633,20.894442,22.838022,,23.773903,27.109055,30.582512
10/21/2010,89.513268,79.584412,99.958809,29.014561,,48.495827,7.784976,27.425102,20.91185,22.91785,,23.670603,27.178698,30.759457
10/22/2010,89.532776,79.565559,100.144989,28.804548,,48.816875,7.779647,27.416651,20.972736,22.997679,,23.515652,27.187405,30.927526
10/25/2010,89.513268,79.584412,100.441147,29.426168,,48.948597,7.753001,27.509506,21.033625,23.053555,,23.463997,27.335398,31.122149
10/26/2010,89.532776,79.509026,100.458076,29.249771,,49.047379,7.763659,27.382895,21.085819,22.925838,,23.404966,27.257044,31.254864
10/27/2010,89.532776,79.471344,100.170364,28.980961,,48.841579,7.768989,27.180307,21.146713,22.806099,,23.309048,27.09164,31.060232
10/28/2010,89.513268,79.575012,100.187294,28.997766,,48.73455,7.768989,27.121218,21.146713,22.885923,,23.368074,27.248344,31.201769
10/29/2010,89.532776,79.593834,100.263435,29.232967,,48.767487,7.758332,27.163424,21.181509,22.965754,,23.404966,27.135172,31.192926
11/1/2010,89.532776,79.628731,100.297302,29.21616,,48.825119,7.758332,27.163424,21.198904,22.869961,,23.176237,27.135172,31.131001
11/2/2010,89.493736,79.581581,101.09269,29.518572,,49.360207,7.779647,27.425102,21.407671,23.005657,,23.44924,27.396334,31.484871
11/3/2010,89.513268,79.609879,101.498856,29.434576,,49.467224,7.854244,27.467302,21.529453,23.077507,,23.404966,27.413748,31.644096
11/4/2010,89.513268,79.628731,103.453529,30.400604,,51.039574,8.115341,28.049744,21.851316,23.356895,,23.655846,27.544327,32.139515
11/5/2010,89.513268,79.562729,103.842781,30.509817,,51.294762,8.301839,28.218563,21.833916,23.237154,,23.648466,27.378923,32.298744
11/8/2010,89.513268,79.524979,103.64814,30.585413,,51.451187,8.237899,28.10038,21.851316,23.197243,,23.515652,27.30928,32.245674
11/9/2010,89.513268,79.421303,102.903519,30.047798,,51.352394,8.083371,27.847155,21.790424,23.077507,,23.434484,27.196108,31.953728
11/10/2010,89.513268,79.468399,103.318146,30.199001,,52.010971,8.173957,27.838711,21.807821,23.005657,,23.331188,27.187405,32.23682
11/11/2010,89.493736,79.345894,102.928894,30.509817,,52.587215,8.094028,27.678333,21.477264,23.029608,,23.316431,27.265751,32.192581
11/12/2010,89.532776,79.345894,101.710419,29.829388,,51.8134,7.960815,27.357565,21.17281,22.91785,,23.124582,26.926235,31.856428
11/15/2010,89.532776,79.298737,101.566559,29.594173,,51.549973,7.998113,27.441975,21.111916,22.925838,,23.205746,26.93494,31.794491
11/16/2010,89.532776,79.336456,99.984207,28.955755,,50.5868,7.864901,27.003044,20.729174,22.670395,,22.932745,26.543198,31.361029
11/17/2010,89.532776,79.383606,100.034973,28.947353,,50.792599,7.811616,27.019922,20.737867,22.678375,,22.925362,26.586727,31.635254
