,SHY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-10-31,,0.17647058823529413,,0.11764705882352942,,0.029411764705882356,0.11764705882352942,0.32352941176470595,,0.029411764705882356,0.029411764705882356,0.17647058823529413
2016-11-30,,,,,,,0.049999999999999996,0.5499999999999999,,0.29999999999999993,0.049999999999999996,0.049999999999999996
2016-12-30,,,,,,,0.11111111111111109,0.44444444444444436,,0.25925925925925924,0.07407407407407408,0.11111111111111109
2017-01-31,,,,,,,,0.5,,0.16666666666666669,0.16666666666666669,0.16666666666666669
2017-02-28,,0.2368421052631579,,0.2368421052631579,,0.2368421052631579,,0.2368421052631579,,0.026315789473684206,0.026315789473684206,
2017-03-31,,0.024999999999999998,,0.47500000000000003,0.22500000000000003,0.22500000000000003,,0.024999999999999998,,0.024999999999999998,,
2017-04-28,,0.07142857142857141,,0.4642857142857143,0.2857142857142857,0.10714285714285715,,,,0.07142857142857141,,
2017-05-31,,0.034482758620689655,,0.42528735632183906,0.3103448275862069,0.08045977011494253,,,,0.14942528735632182,,
2017-06-30,,0.15000000000000002,,0.35000000000000003,0.25,0.05,0.05,0.05,,0.05,,0.05
2017-07-31,,0.15789473684210534,,0.2631578947368422,0.2631578947368422,0.052631578947368446,0.052631578947368446,0.052631578947368446,,0.052631578947368446,0.052631578947368446,0.052631578947368446
2017-08-31,,0.18627450980392152,,0.20588235294117643,0.30392156862745096,0.10784313725490194,0.08823529411764704,0.009803921568627458,,,0.08823529411764704,0.009803921568627458
2017-09-29,,,,0.2285714285714286,0.38571428571428573,,0.08571428571428572,0.07142857142857144,0.08571428571428572,0.07142857142857144,,0.07142857142857144
2017-10-31,,,,0.09433962264150943,0.3018867924528302,,0.1132075471698113,0.3018867924528302,,0.09433962264150943,,0.09433962264150943
2017-11-30,,0.2419354838709677,,0.06451612903225803,0.11290322580645161,0.11290322580645161,0.06451612903225803,0.29032258064516125,,,,0.11290322580645161
2017-12-29,,0.2545454545454545,,0.05454545454545453,0.14545454545454545,0.14545454545454545,0.05454545454545453,,0.05454545454545453,0.14545454545454545,0.14545454545454545,
2018-01-31,,0.22950819672131145,,0.049180327868852444,0.049180327868852444,0.049180327868852444,0.049180327868852444,,0.13114754098360654,0.31147540983606553,0.13114754098360654,
2018-02-28,,0.0808080808080808,,0.0808080808080808,0.0808080808080808,0.0808080808080808,0.0303030303030303,0.0303030303030303,0.1414141414141414,0.2525252525252525,0.1414141414141414,0.0808080808080808
2018-03-30,,0.016949152542372888,,0.2033898305084746,0.016949152542372888,0.016949152542372888,0.1694915254237288,0.016949152542372888,0.016949152542372888,0.1694915254237288,0.35593220338983056,0.016949152542372888
2018-04-30,,0.038961038961038946,,0.1818181818181818,0.10389610389610389,0.10389610389610389,0.2467532467532467,0.038961038961038946,0.038961038961038946,0.10389610389610389,0.10389610389610389,0.038961038961038946
2018-05-31,,0.05797101449275363,,,0.2608695652173913,0.10144927536231885,0.2608695652173913,0.05797101449275363,0.05797101449275363,0.10144927536231885,0.10144927536231885,
2018-06-29,,0.06097560975609756,,0.06097560975609756,0.3414634146341463,0.2073170731707317,0.2073170731707317,0.06097560975609756,,,0.06097560975609756,
2018-07-31,,0.027027027027027025,,0.027027027027027025,0.2702702702702703,0.17117117117117117,0.17117117117117117,0.027027027027027025,0.12612612612612611,0.12612612612612611,0.027027027027027025,0.027027027027027025
2018-08-31,,0.04347826086956523,,0.04347826086956523,0.23478260869565223,0.13913043478260873,0.13913043478260873,0.05217391304347827,0.14782608695652177,0.14782608695652177,,0.05217391304347827
2018-09-28,,0.06382978723404256,,0.06382978723404256,0.297872340425532,0.06382978723404256,0.1808510638297873,0.05319148936170215,0.05319148936170215,0.17021276595744686,,0.05319148936170215
2018-10-31,,0.1326530612244898,,0.1326530612244898,0.24489795918367344,0.020408163265306128,0.1326530612244898,,0.020408163265306128,0.20408163265306117,0.09183673469387754,0.020408163265306128
2018-11-30,,0.16666666666666669,,0.3194444444444445,0.16666666666666669,0.013888888888888878,0.3194444444444445,,,,,0.013888888888888878
2018-12-31,,0.17894736842105266,,0.17894736842105266,0.06315789473684211,0.05263157894736843,0.17894736842105266,0.16842105263157897,0.06315789473684211,,0.05263157894736843,0.06315789473684211
2019-01-31,,0.1839080459770115,,0.1839080459770115,0.057471264367816084,0.0689655172413793,0.1839080459770115,0.19540229885057472,,,0.0689655172413793,0.057471264367816084
